Date,Holiday
2020-11-24,Thanksgiving Day
2020-11-25,Thanksgiving Day
2020-11-26,Thanksgiving Day
2020-11-27,Thanksgiving Day
2020-11-28,Thanksgiving Day
2020-11-29,Thanksgiving Day
2020-11-30,Thanksgiving Day
2020-12-01,Thanksgiving Day
2020-12-02,Thanksgiving Day
2020-12-03,Thanksgiving Day
2020-12-04,Thanksgiving Day
2020-12-05,Thanksgiving Day
2020-12-06,Thanksgiving Day
2020-12-15,Christmas Day
2020-12-16,Christmas Day
2020-12-17,Christmas Day
2020-12-18,Christmas Day
2020-12-19,Christmas Day
2020-12-20,Christmas Day
2020-12-21,Christmas Day
2020-12-22,Christmas Day
2020-12-23,Christmas Day
2020-12-24,Christmas Day
2020-12-25,Christmas Day
2020-12-26,Christmas Day
2020-12-27,Christmas Day
2020-12-28,Christmas Day
2020-12-29,Christmas Day
2020-12-30,Christmas Day
2020-12-31,Christmas Day
